Home.md,overview,SOFATracer 介绍,/sofa-tracer/docs/Home,zh
Explanation.md,explanation,基础术语,/sofa-tracer/docs/Explanation,zh
TraceIdGeneratedRule.md,traceid-generated-rule,TraceId 和 SpanId 生成规则,/sofa-tracer/docs/TraceIdGeneratedRule,zh
ComponentAccess.md,component-access,快速开始,/sofa-tracer/docs/ComponentAccess,zh
Usage_Of_MVC.md,usage-of-mvc,Spring MVC 埋点接入,/sofa-tracer/docs/Usage_Of_MVC,zh
Usage_Of_HttpClient.md,usage-of-httpclient,HttpClient 埋点接入,/sofa-tracer/docs/Usage_Of_HttpClient,zh
Usage_Of_Datasource.md,usage-of-datasource,DataSource 埋点接入,/sofa-tracer/docs/Usage_Of_Datasource,zh
Usage_Of_RestTemplate.md,usage-of-resttemplate,RestTemplate 埋点接入,/sofa-tracer/docs/Usage_Of_RestTemplate,zh
Usage_Of_OkHttp.md,usage-of-okhttp,OkHttp 埋点接入,/sofa-tracer/docs/Usage_Of_OkHttp,zh
Usage_Of_Dubbo.md,usage-of-dubbo,Dubbo 埋点接入,/sofa-tracer/docs/Usage_Of_Dubbo,zh
Usage_Of_openfeign.md,usage-of-openfeign,OpenFeign 埋点接入,/sofa-tracer/docs/Usage_Of_openfeign,zh
PrintTraceIdSpanId.md,print-traceid-spanid,应用日志打印 traceId 和 spanId,/sofa-tracer/docs/PrintTraceIdSpanId,zh
Async.md,async,异步线程处理,/sofa-tracer/docs/Async,zh
Sampler.md,sampler,采样模式,/sofa-tracer/docs/Sampler,zh
ReportToZipkin.md,report-to-zipkin,上报数据至 Zipkin,/sofa-tracer/docs/ReportToZipkin,zh
Utils.md,utils,SOFATracer 工具类,/sofa-tracer/docs/Utils,zh
Configuration.md,configuration,SOFATracer 配置项,/sofa-tracer/docs/Configuration,zh
Log_Format_SpringMVC.md,log-format-springmvc,Spring MVC 日志,/sofa-tracer/docs/Log_Format_SpringMVC,zh
Log_Format_HttpClient.md,log-format-httpclient,HttpClient 日志,/sofa-tracer/docs/Log_Format_HttpClient,zh
Log_Format_Datasource.md,log-format-datasource,DataSource 日志,/sofa-tracer/docs/Log_Format_Datasource,zh
Log_Format_SOFARPC.md,log-format-sofarpc,SOFARPC 日志,/sofa-tracer/docs/Log_Format_SOFARPC,zh
Log_Format_OkHttp.md,log-format-okhttp,OkHttp 日志,/sofa-tracer/docs/Log_Format_OkHttp,zh
Log_Format_RestTemplate.md,log-format-resttemplate,RestTemplate 日志,/sofa-tracer/docs/Log_Format_RestTemplate,zh
Log_Format_Dubbo.md,log-format-dubbo,Dubbo 日志,/sofa-tracer/docs/Log_Format_Dubbo,zh
Log_Format_OpenFeign.md,log-format-openfeign,OpenFeign 日志,/sofa-tracer/docs/Log_Format_OpenFeign,zh
RoadMap.md,roadmap,发展路线,/sofa-tracer/docs/RoadMap,zh
